"","geoid","year","NAME","measure","region_type","value"
"216",51059461000,2021,"Census Tract 4610, Fairfax County, Virginia","ays_index","tract",0.734081849145862
"217",51059461100,2021,"Census Tract 4611, Fairfax County, Virginia","ays_index","tract",0.715793070823068
"218",51059461201,2021,"Census Tract 4612.01, Fairfax County, Virginia","ays_index","tract",0.808000843714977
"219",51059461202,2021,"Census Tract 4612.02, Fairfax County, Virginia","ays_index","tract",0.715048771993601
"220",51059461500,2021,"Census Tract 4615, Fairfax County, Virginia","ays_index","tract",0.74495839391338
"221",51059461603,2021,"Census Tract 4616.03, Fairfax County, Virginia","ays_index","tract",0.676065698798382
"222",51059461604,2021,"Census Tract 4616.04, Fairfax County, Virginia","ays_index","tract",0.625228918725649
"223",51059461605,2021,"Census Tract 4616.05, Fairfax County, Virginia","ays_index","tract",0.742712327788707
"224",51059461606,2021,"Census Tract 4616.06, Fairfax County, Virginia","ays_index","tract",0.740766253158412
"225",51059461700,2021,"Census Tract 4617, Fairfax County, Virginia","ays_index","tract",0.693825095987923
"226",51059461801,2021,"Census Tract 4618.01, Fairfax County, Virginia","ays_index","tract",0.615474124771284
"227",51059461802,2021,"Census Tract 4618.02, Fairfax County, Virginia","ays_index","tract",0.684451637877023
"228",51059461901,2021,"Census Tract 4619.01, Fairfax County, Virginia","ays_index","tract",0.62683393390587
"229",51059461902,2021,"Census Tract 4619.02, Fairfax County, Virginia","ays_index","tract",0.325856085937645
"230",51059470100,2021,"Census Tract 4701, Fairfax County, Virginia","ays_index","tract",0.833799736644081
"231",51059470300,2021,"Census Tract 4703, Fairfax County, Virginia","ays_index","tract",0.796047109129964
"232",51059470400,2021,"Census Tract 4704, Fairfax County, Virginia","ays_index","tract",0.773693086380335
"233",51059470500,2021,"Census Tract 4705, Fairfax County, Virginia","ays_index","tract",0.792481417945037
"234",51059470600,2021,"Census Tract 4706, Fairfax County, Virginia","ays_index","tract",0.70856282819583
"235",51059470700,2021,"Census Tract 4707, Fairfax County, Virginia","ays_index","tract",0.772388056818199
"236",51059470800,2021,"Census Tract 4708, Fairfax County, Virginia","ays_index","tract",0.785401880105991
"237",51059470900,2021,"Census Tract 4709, Fairfax County, Virginia","ays_index","tract",0.761307716750142
"238",51059471000,2021,"Census Tract 4710, Fairfax County, Virginia","ays_index","tract",0.789347091693305
"239",51059471100,2021,"Census Tract 4711, Fairfax County, Virginia","ays_index","tract",0.65035160485227
"240",51059471201,2021,"Census Tract 4712.01, Fairfax County, Virginia","ays_index","tract",0.738871689182417
"241",51059471203,2021,"Census Tract 4712.03, Fairfax County, Virginia","ays_index","tract",0.765518444110603
"242",51059471204,2021,"Census Tract 4712.04, Fairfax County, Virginia","ays_index","tract",0.740176645957207
"243",51059471301,2021,"Census Tract 4713.01, Fairfax County, Virginia","ays_index","tract",0.648304670984727
"244",51059471303,2021,"Census Tract 4713.03, Fairfax County, Virginia","ays_index","tract",0.700329030553711
"245",51059471304,2021,"Census Tract 4713.04, Fairfax County, Virginia","ays_index","tract",0.751772981247865
"246",51059471401,2021,"Census Tract 4714.01, Fairfax County, Virginia","ays_index","tract",0.569347820550428
"247",51059471402,2021,"Census Tract 4714.02, Fairfax County, Virginia","ays_index","tract",0.466309120344473
"248",51059480100,2021,"Census Tract 4801, Fairfax County, Virginia","ays_index","tract",0.750728820788213
"249",51059480201,2021,"Census Tract 4802.01, Fairfax County, Virginia","ays_index","tract",0.799481844844291
"250",51059480203,2021,"Census Tract 4802.03, Fairfax County, Virginia","ays_index","tract",0.707281081702767
"251",51059480204,2021,"Census Tract 4802.04, Fairfax County, Virginia","ays_index","tract",0.787996095670397
"252",51059480205,2021,"Census Tract 4802.05, Fairfax County, Virginia","ays_index","tract",0.747276710852928
"253",51059480301,2021,"Census Tract 4803.01, Fairfax County, Virginia","ays_index","tract",0.765567563961321
"254",51059480302,2021,"Census Tract 4803.02, Fairfax County, Virginia","ays_index","tract",0.738485011903898
"255",51059480401,2021,"Census Tract 4804.01, Fairfax County, Virginia","ays_index","tract",0.777538249871905
"256",51059480402,2021,"Census Tract 4804.02, Fairfax County, Virginia","ays_index","tract",0.762097889847404
"257",51059480501,2021,"Census Tract 4805.01, Fairfax County, Virginia","ays_index","tract",0.688317951362912
"258",51059480502,2021,"Census Tract 4805.02, Fairfax County, Virginia","ays_index","tract",0.673803091130423
"259",51059480503,2021,"Census Tract 4805.03, Fairfax County, Virginia","ays_index","tract",0.698555667627638
"260",51059480504,2021,"Census Tract 4805.04, Fairfax County, Virginia","ays_index","tract",0.693926822129988
"261",51059480505,2021,"Census Tract 4805.05, Fairfax County, Virginia","ays_index","tract",0.729213886418507
"262",51059480801,2021,"Census Tract 4808.01, Fairfax County, Virginia","ays_index","tract",0.445881008490211
"263",51059480802,2021,"Census Tract 4808.02, Fairfax County, Virginia","ays_index","tract",0.672507362457586
"264",51059480901,2021,"Census Tract 4809.01, Fairfax County, Virginia","ays_index","tract",0.482623572947771
"265",51059480902,2021,"Census Tract 4809.02, Fairfax County, Virginia","ays_index","tract",0.493510549142118
"266",51059480903,2021,"Census Tract 4809.03, Fairfax County, Virginia","ays_index","tract",0.503248399282961
"267",51059481000,2021,"Census Tract 4810, Fairfax County, Virginia","ays_index","tract",0.496805221504419
"268",51059481101,2021,"Census Tract 4811.01, Fairfax County, Virginia","ays_index","tract",0.69615654553339
"269",51059481102,2021,"Census Tract 4811.02, Fairfax County, Virginia","ays_index","tract",0.710186807761492
"270",51059481103,2021,"Census Tract 4811.03, Fairfax County, Virginia","ays_index","tract",0.578531554367119
"271",51059481104,2021,"Census Tract 4811.04, Fairfax County, Virginia","ays_index","tract",0.645627742963419
"272",51059481105,2021,"Census Tract 4811.05, Fairfax County, Virginia","ays_index","tract",0.748316846357487
"273",51059481106,2021,"Census Tract 4811.06, Fairfax County, Virginia","ays_index","tract",0.700590489863886
"274",51059481201,2021,"Census Tract 4812.01, Fairfax County, Virginia","ays_index","tract",0.710817745046083
"275",51059481202,2021,"Census Tract 4812.02, Fairfax County, Virginia","ays_index","tract",0.506874639416136
"276",51059481400,2021,"Census Tract 4814, Fairfax County, Virginia","ays_index","tract",0.650981925786002
"277",51059481500,2021,"Census Tract 4815, Fairfax County, Virginia","ays_index","tract",0.727597666932998
"278",51059481600,2021,"Census Tract 4816, Fairfax County, Virginia","ays_index","tract",0.77874714216343
